sozlesme_no,blok,no,daire,isyeri,tuketim_2024_02_21,odenecek_tutar_2024_02_21,tuketim_2024_03_20,odenecek_tutar_2024_03_20,tuketim_2024_04_26,odenecek_tutar_2024_04_26,tuketim_2024_05_21,odenecek_tutar_2024_05_21,tuketim_2024_06_25,odenecek_tutar_2024_06_25,tuketim_2024_07_24,odenecek_tutar_2024_07_24,tuketim_2024_09_20,odenecek_tutar_2024_09_20,tuketim_2024_10_22,odenecek_tutar_2024_10_22,tuketim_2024_11_15,odenecek_tutar_2024_11_15,tuketim_2024_12_16,odenecek_tutar_2024_12_16
3368203,Amfitortum-D blok,267/22,Z,,,,,,,,,,,,,,,,,,,,117,1727
3198126,Amfitortum-E blok,267/24,Z,,,,,,,,,,,,,,,,,,,,11539,220736
3400505453,Amfitoryum,267/24,,1,,,,,,,,,,,,,,,,,,,,
2976701,ARBİM,267/38,Z,,984,11072,650,7444,247,2777,,,,,,,,,,,84,1306,680,9988
11532,Fars Dili,267/15,,1,,,,,,,,,,,,,,,,,,,,
2957485,Fizyoterapi BLM,267/36,Z,,8811,128302,7816,115860,3559,51805,,,,,17,238,,,,,1405,26170,6371,121291
5839230,G. Sanatlar ve Mimarlık Fak.,267/14,,1,,,,,,,,,,,,,,,,,,,,
2730195,Hukuk Fak.,267/17,Z1,,6370,92722,5057,74962,1685,24527,,,,,,,,,,,1093,20359,5326,101396
5839235,Idari Bina,267/35,,1,,,,,,,,,,,,,,,,,,,,
2730199,Idari Bina- İdari işler,267/35,Z,,3700,53853,2922,43314,1128,16419,,,,,,,,,,,712,13262,3172,60388
5839223,İİBF,267/11,,1,,,,,,,,,,,,,,,,,,,,
2730828,İkdisat Fak.,267/A,Z1,,5511,80218,4033,59783,1934,28151,,,,,,,,,,,790,14715,5504,104785
2730193,İngiliz Dili Fak.,267/C,Z1,,3806,55401,5197,77037,1425,20742,,,,,,,,,,,592,11027,4120,78436
2730191,İnşaat Müh.,267/E,Z1,,6646,96740,5313,78757,2069,30116,,,,,,,,,,,972,18105,6782,129115
2730190,Mimarlık Fak.,267/15,Z1,,11581,168573,9021,133722,3890,56623,,,,,,,,,,,1878,34981,8509,161993
2730189,MYO Lab. Sağlık MYO,267/32,Z,,7221,81254,4681,53610,1565,17596,,,,,,,,,,,900,12944,7199,105737
3369795,ODİTORYUM,267/2,Z,,1784,20075,1329,15220,389,4374,,,,,,,,,,,448,7018,1663,24426
4167563,Restoran Gast.Mutfak,267/39,Mutfak,,3,43,9,133,4,59,,,4,159,,,,,,,11,205,11,209
3072559,Restoran Zemin Mutfak,267/39,Z1,,114,1660,159,2357,119,1732,87,1271,48,687,,,,,,,221,4116,268,5103
11528,Sağlık  MYO,267/32,,1,,,,,,,,,,,,,,,,,,,,
30186001,Sağlık Bilimleri Y. Okulu,267/2,,1,,,,,,,,,,,,,,,,,,,,
5839229,Yabancı Diller Y. Okulu,267/13,,1,,,,,,,,,,,,,,,,,,,,
