ay,arbim_ges,ftr_ges,hku_cati_ges,kkm_cati_ges,hkuges1,toplam
OCAK ,10589,6970,24242,17724,85877,145402
ŞUBAT ,12495,8203,23780,16365,71451,132294
MART ,18160,12226,35153,28927,96673,191139
NİSAN ,17834,12392,37204,27034,89444,183908
MAYIS,28716,16672,49659,37711,117889,250647
HAZİRAN,31234,17897,54696,45718,155259,304804
TEMMUZ,24736,16371,56534,43782,116425,257848
AĞUSTOS ,21597,15040,38561,35500,112634,223332
EYLÜL,20926,13011,42029,30543,115032,221541
EKİM,17378,11198,38968,27515,105931,200990
KASIM ,9331,6412,22888,15433,58688,112752
ARALIK ,7420,5951,19605,14293,58897,106166
